order	sample_00	sample_01	sample_02	sample_03	sample_04	sample_05	sample_06	sample_07	sample_08	sample_09	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49
Acidaminococcales	0.17209985436893202	0.002441419240953221	0.00016129126213592233	0.0	0.0	0.0018683618711385702	0.01128579523389232	0.0018447078552515444	3.510412330979701	0.000807413945278023	0.0	0.008943090026478376	0.0059967316857899395	2.0289125772285965	0.0027193821712268315	4.168137687555164e-05	0.0028980944395410415	0.03347094263018535	0.0016922815533980582	0.038272568402471306	0.0007716381288614298	0.005729747572815535	0.002133019417475728	0.10026056575463373	0.003809206531332745	0.010250289496910855	0.0001516513680494263	0.003919492497793469	0.00041688614298323034	0.003404746690203001	0.0018464854368932038	0.000508135922330097	0.002118065313327449	0.0011634757281553398	0.0015668172992056486	0.0	0.040222413062665496	0.004333557811120919	0.00012935834068843776	0.0026459664607237417	2.6368868729037933	0.00658169196822595	0.10774907149161526	0.00016061429832303617	2.165399533097971	0.0	0.004337207413945277	0.0	0.01598548367166814	0.08013279964695498
Burkholderiales	0.8188676758682101	0.0017146233303650938	0.9467349741763124	0.0010087907390917187	0.0009921406945681212	0.002346081923419413	2.6131893098842385	0.0012996874443455032	0.00196346482635797	0.0011919501335707924	0.0009887105966162066	0.1878757569011576	0.0	6.0949243098842396e-05	0.37589690204808585	0.0014313650934995547	0.0	0.009925584149599287	0.0016532546749777383	0.0753228227960818	0.9891692359750665	0.00020070614425645594	0.00018531700801424755	0.0019998682101513795	0.13677963490650058	0.0007334612644701692	0.0050598869100623315	0.019753888691006243	5.749379979519145	0.15657063757791617	0.0002016874443455031	0.0018256509349955478	0.0003669813000890472	0.04843038735529831	0.002215837043633125	0.00042352715939447905	0.0011745903829029386	0.00012644879786286733	0.040090705253784525	4.1737310774710596e-05	9.60106856634016e-05	0.00726587355298308	0.0011474087266251111	0.0018028299198575245	0.1616891415850401	0.00034957168299198574	0.0007384951024042742	0.0004204229741763134	0.040929150489759536	0.08004021549421197
Eggerthellales	1.1508784631423457	1.1320136894906319	0.07195961876109845	0.8381611711341113	1.2141642166191828	0.04222763389487412	1.1246976541738767	0.3552427421921685	1.2258176537310947	0.09531128741298936	0.9890230555861061	0.40085336460360327	0.6453299644556211	0.536850929819586	6.5969121927602075	1.3901405641953526	0.5124658251623533	2.2577944966889687	1.0364595723236227	0.9978263031284539	0.49526431173209273	0.04490665777836073	0.8422850960016808	0.5966031039687711	0.10817759334753788	0.21665577406379286	0.12288279475721739	6.928526487258228	7.467112858250585	0.5410443916346791	0.636112136801354	0.6605625916693999	1.3876527544537423	0.09345199667026237	3.46682428547687	0.4088734881858602	0.13350028510906647	1.2058874897657774	0.13761838140733845	2.9819671919925836	2.623616007460326	0.35192766039060963	0.38333682886879006	0.14768551145596745	0.2138467401553697	3.2616195866220052	2.159999863513686	0.4309420594978559	1.213854396147763	0.9374455915209614
Selenomonadales	0.02168740608465608	0.012484589947089947	0.027863260582010576	0.048730264550264524	0.7465178875661379	2.8348522063492054	8.846425784391537	0.006568625661375661	0.0156023955026455	108.84040974999989	0.8428375555555552	1.241307097883598	0.02130416137566137	0.008603898148148147	0.03283131878306881	0.05080803306878307	23.175278021164026	0.008930567460317462	0.007053313492063493	0.017267538359788368	0.1050632711640211	0.03714838756613755	0.13336844179894172	0.1530991917989419	0.03883053703703706	63.40027812169317	9.701590685185176	0.024100542328042325	0.004566517195767196	0.0322385119047619	0.0101126164021164	0.02906146164021165	0.04064323677248677	5.099239681216931	0.04093569312169314	0.02531159126984126	93.14325395899473	0.025911145502645512	16.398154161375665	0.005836224867724867	85.44697047222225	1.8549030965608484	0.024925228835978835	24.12157537169311	9.660670902116417	129.02561729894168	0.022241518518518525	29.318757010581987	0.016891777777777787	0.031351148148148156
Lepidoptera	0.0	0.0	0.0	0.0	6.623365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.263062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.777939	0.0	0.0	0.0	0.0	0.0	0.340349	0.0	0.0	0.0	0.0	0.206821	0.0	0.0	46.857754	0.0	0.0	0.0	0.0
Mononegavirales	0.976515	0.7818	0.97554	0.0	0.760274	0.195695	0.586106	0.372798	0.170254	0.0	0.180039	0.0	0.0	0.195695	5.057728	1.167319	0.187867	0.195695	0.0	0.0	0.0	0.391389	0.78278	0.0	0.195695	0.195695	0.0	0.895304	1.135028	1.126222	0.391389	0.0	0.920744	0.0	0.0	2.334638	0.782779	0.187867	0.0	1.551861	0.186888	0.195695	0.0	0.978473	0.580235	0.585128	3.318983	0.195695	0.195695	0.0
Laurasiatheria	0.0	0.0	0.0	0.0	0.9776646666666666	0.10224933333333334	0.0	0.0	0.0	0.0	0.0	0.10706399999999999	0.0	0.0	0.0	0.0	0.0	0.10375266666666666	0.0	0.11037533333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.67881799999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lamiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7559695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5744095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0923175	0.0	0.0	0.0	0.0	0.1598695	0.0	0.0	0.47588525	0.0	0.0	0.0	0.0996015	0.0	0.0
Synergistales	0.252929	0.0	0.137836	6.022056	0.0	1.6030799999999998	31.368344	0.0	0.0	0.261888	5.249995	0.0	0.0	0.0	19.076545	0.0	0.0	0.529979	0.0	0.0	0.0	12.955625	0.0	0.0	0.0	0.112336	0.0	2.46622	0.0	0.0	0.724375	0.0	0.073225	0.0	1.506546	0.543763	0.827015	0.769126	1.061338	0.0	0.137836	0.413507	0.68918	0.137836	0.0	0.0	0.137836	0.0	0.275672	2.501724
Actinomycetales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
