familly	w	p-value
Ascoviridae	4.48098291905	7.43000583339e-06
familly	0.0	1.0
Togaviridae	0.179239316762	0.857749793266
Nimaviridae	4.30863742216	1.64263399898e-05
Moraxellaceae	0.0	1.0
Selenomonadaceae	-1.36497633534	0.172260487968
Prevotellaceae	-0.479120481344	0.631852919965
Mimiviridae	1.26156903721	0.207103903478
Eubacteriaceae	-2.09572124214	0.0361069263669
Tristromaviridae	2.06814596264	0.0386262997803
Veillonellaceae	1.1788431987	0.238460619197
Synergistaceae	0.882408944059	0.377555700733
Flaviviridae	-0.999603881941	0.317502243778
Erwiniaceae	0.517036490659	0.605130686028
Pasteurellaceae	-1.27535667696	0.20218302542
Acidaminococcaceae	3.55031723586	0.00038476719217
Herpesviridae	-1.22020611796	0.222386748223
Micrococcaceae	1.30982577634	0.190254781053
Lachnospiraceae	1.44080835397	0.149638832699
Hypoviridae	-3.75713183212	0.00017187196302
Curculionoidea	0.344690993773	0.730326689601
Enterococcaceae	-6.56291652144	5.27653907971e-11
Peptoniphilaceae	7.03859009284	1.94194724693e-12
Rikenellaceae	0.317115714271	0.751155801527
Barnesiellaceae	-1.68209204961	0.0925509918166
Myoviridae	-0.289540434769	0.772167841813
Pneumoviridae	-0.355031723586	0.722565825352
Corynebacteriaceae	0.344690993773	0.730326689601
Phycodnaviridae	-0.592868509289	0.553269154238
Podoviridae	-1.02717916144	0.304336108629
Eggerthellaceae	2.88161670794	0.00395640685017
Saccharomycetaceae	1.23054684777	0.218492395174
Bovidae	0.944453322938	0.344938043722
Arenaviridae	5.34271040348	9.15669900002e-08
Potyviridae	4.98078486002	6.3326910704e-07
Peptostreptococcaceae	0.124088757758	0.90124499937
Yponomeutoidea	1.2064184782	0.227656174765
Desulfovibrionaceae	-3.82607003088	0.000130205262805
Porphyromonadaceae	-1.937163385	0.0527253744815
Trichomonadidae	0.172345496886	0.863165918093
Dioscoreaceae	1.03407298132	0.301102046212
Fusobacteriaceae	4.54302729793	5.54520674007e-06
Papillomaviridae	2.55760717379	0.0105395075361
Lavidaviridae	1.2064184782	0.227656174765
Streptococcaceae	-0.296434254645	0.766898468787
Atopobiaceae	3.04017456508	0.00236441062259
Picobirnaviridae	-5.34615731342	8.98411319001e-08
Linaceae	1.2064184782	0.227656174765
Propionibacteriaceae	1.93371647507	0.0531479970822
Brachyspiraceae	2.5851824533	0.00973274789744
Bacillaceae	-0.175792406824	0.860457035218
Marseilleviridae	0.0	1.0
Yersiniaceae	0.351584813648	0.725149655902
Pseudomonadaceae	0.689381987546	0.490582915561
Clostridiaceae	3.83296385075	0.000126608564361
Bifidobacteriaceae	0.330903354022	0.74071748842
Lactobacillaceae	7.19714794998	6.14850377737e-13
Aeromonadaceae	0.172345496886	0.863165918093
Dysgonamonadaceae	0.0	1.0
