class	sample_00	sample_01	sample_02	sample_03	sample_04	sample_05	sample_06	sample_07	sample_08	sample_09	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49
Erysipelotrichia	3.593028416666667	0.5691221666666667	3.4727923333333335	1.9069659166666666	10.889142666666666	1.6869463333333337	0.49276400000000004	0.565595	0.34645708333333336	1.4838229166666668	5.829130500000001	0.9416138333333334	21.503529666666665	2.836848333333333	7.413431666666667	6.643449416666667	0.18374908333333337	1.8152089166666665	4.515510833333333	0.35155700000000006	3.1725953333333337	1.5924239166666665	11.666886250000001	9.548109416666666	1.1731512499999999	5.304143333333333	1.5182229166666668	10.39964675	4.396269916666666	18.452510333333336	0.44866408333333335	0.3127090833333333	0.29706308333333337	1.5998910833333333	8.350899	10.24175075	7.712727916666667	2.00855475	3.3130919999999997	2.12393825	2.3489796666666667	2.2828621666666664	3.8346348333333338	5.7765875	1.2162650833333333	5.458086333333333	0.8850953333333335	0.9709574999999999	11.24449	1.9067733333333334
Verrucomicrobiae	0.003263712171052632	0.18537838651315808	53.591053208881576	0.0041096595394736835	14.143381406249997	0.006985363486842105	0.006122592105263156	0.003084792763157895	0.0005399194078947369	0.002086368421052632	0.041359425986842134	0.07415436184210528	0.0012937713815789475	0.0006685707236842106	0.0010350986842105263	0.29202394572368423	0.08012359703947369	0.04135152796052631	0.1593320263157895	0.0016205180921052633	1.7236289506578948	13.171084391447366	0.0528080394736842	0.016802322368421045	0.37296993421052665	43.808055345394735	0.00604460032894737	0.6669005592105266	0.012742991776315785	35.71951918914471	0.04632071875000002	0.0019918421052631577	0.002583873355263158	0.07507599013157892	0.008961853618421051	21.387933200657915	0.06607119901315783	0.0017988075657894736	0.9915550937500006	32.555863888157916	605.1094933947371	0.13568653289473687	186.23782802467105	0.11726976151315785	0.008155300986842107	0.21855896381578946	1.2370250131578953	0.05628206907894738	0.9238951200657901	43.12520458388162
Actinopterygii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Flavobacteriia	3.102866	15.215757	24.432285999999998	16.705426	3.039033	18.944607	4.816415	0.0	45.73767899999999	40.697502	256.119602	1.072106	97.423375	4.6809400000000005	0.824445	3.011197	8.952411999999999	85.669896	3.386553	0.109649	34.646976	9.971535	5.702253	16.332496	17.709258	377.17660099999995	4.3773859999999996	6.364019000000001	23.458335	1.858846	5.449209	0.586756	0.167645	4.92178	22.525613	0.759013	2.935957	2.3283940000000003	158.759582	0.219298	112.619967	7.821314999999999	2.8591849999999996	0.185009	9.129473	0.0	0.185958	27.230927	0.273575	5.403908
Bacilli	25.37460064486244	15.29632582155206	11.697456624994853	14.130740724012952	19.567737902256614	14.443486433462203	12.536495731437423	31.569388793327104	11.853512366211266	75.40425289147692	32.66860803543135	11.312000462112412	14.2967282831495	6.635843153712744	9.623608257648412	10.025809865593581	8.51365172162323	13.27777498865108	2.270294054961939	2.0539889106392133	75.19352444757493	5.227133390540593	109.21234899810523	3.3101841485623416	24.359044380024237	4.420815530605956	101.06808468442685	13.300657902322111	25.349489216562844	60.044471490713185	2.330701248210312	2.5463281790985888	0.548984462385487	225.38505810929598	35.69148221603424	12.239527085717834	18.710902201827277	9.141612292153756	58.380610238637544	2.353716693679744	1.1624936046380314	28.268427848368688	35.224205382781165	16.731447176480852	14.026102215768336	6.463001348188723	5.286007578172143	9.448953368764471	161.88329354511689	6.541792941350755
Synergistia	0.0011399566326530611	0.006856326530612245	0.4098194566326532	0.004506649234693878	0.06241975637755103	0.008739016581632652	0.0074183750000000005	0.00017132397959183674	0.00016331760204081632	0.43314780994897994	0.0011211747448979592	0.024967469387755088	0.1493837742346939	0.004074165816326531	0.00609998086734694	0.0	0.04148895535714286	0.017321900510204078	0.20190520790816327	0.4533290918367347	0.004536244897959183	0.052845312499999963	0.0018465752551020409	0.15215183163265306	1.825965316326533	0.1458780663265306	0.0030410012755102043	0.5507416760204081	0.02544985331632653	0.018328186224489798	0.018130022959183676	0.16573561096938774	0.0006274719387755102	0.0023619323979591836	0.2988839056122449	0.13001623086734693	0.045425471938775525	0.11792129846938781	1.9117214987244904	0.17632547704081636	0.00029335076530612246	0.09228887627551022	2.8170509056122452	0.12345409566326532	1.7831031237244912	0.19562476020408182	0.0	0.00218505612244898	0.0007696836734693877	2.8411550063775515
Tissierellia	0.03492636763590392	0.03922056814159292	2.4382341716814135	0.004451630088495574	0.026762759292035407	0.4406152582806574	0.017152325663716817	3.7063379707964605	5.790807227054361	0.013271049557522126	2.247660392920354	0.010486021238938053	2.343701046017701	0.08493551504424779	0.005317116814159292	0.11536491630847029	0.019100545132743372	1.6947517006321107	0.21676705132743374	1.0027610973451329	0.043967668520859676	0.00648493628318584	0.2010488640960809	0.004297601769911505	4.379966185840708	1.5943050557522123	0.011928081415929206	9.993784604298359	0.08377490796460178	38.12663829013907	0.0047933380530973445	0.11110030973451325	0.1763158336283184	0.00844197168141593	0.015268495575221242	0.09507246194690268	5.22657402123894	0.06553791327433628	0.4227016490518333	0.02366026902654867	0.8817788982300885	0.2578340309734513	0.15344092831858408	29.74038233843236	0.1980635646017699	0.1491091053097346	0.140135	0.03857002123893806	0.1297887185840709	1.3369527486725663
Actinobacteria	53.33508933237264	140.955491275999	61.34779217740202	9.26136511767937	35.42506604542607	21.59791260909173	34.84764190378797	2.5940025513457683	2.212902654610847	1.1777790892238738	206.44691829865633	6.903322163455346	12.324855940257834	21.54826579139124	18.100431000198125	20.62849347051382	11.122379480565662	23.743717259381576	2.331773503336459	0.8420131266212456	343.8816203865891	4.852903969889315	213.10373070396804	4.188865984522879	72.98864019663753	5.882376270637581	23.872134341224534	22.8860964818783	29.09379796879724	26.982451045358292	1.501007813691073	1.9265407141584585	3.729948530633571	10.648820792264326	61.32366850971802	93.22150761121998	11.659146476765232	11.78670513201914	177.05542891798726	19.43092932031492	0.3268534001718542	6.3509504855138825	87.93737159029803	279.7440543876238	2.214954077198446	33.07021954487751	142.2473278652584	0.5315839023089733	46.26142465023926	14.594789576309406
Gammaproteobacteria	0.10770799751981615	26.737936030559343	3.9056418706866776	0.014594716363694181	7.836996804871157	2.387680225207143	18.27044534326496	330.588534968361	3.7375883234852836	12.913438852581201	5.981891207796319	7.544785484106443	19.8434340881776	1.1184776070285332	0.7379782709132734	106.53423426551171	339.7777934270602	5.038415269792288	0.05497625917538028	0.5074104565753007	21.3578788202912	1.9067160059064077	71.53674217420485	3.5260512952667717	305.7524011406192	20.951440833357022	42.471161622849	2.3724652602264458	6.692588903258851	5.678484133994866	2.6962185377729524	2.0523506223085612	13.436248035689827	81.66389276889568	0.07775799022245652	5.160454478150019	63.48150301582835	1.229421214058946	4.078395506300093	4.884105640814646	29.18433457687891	3.9596304762510233	1.307020179450344	3.141219798891108	1.5247583550923802	174.50863289338423	3.0776663950389285	5.74599325941261	27.755430948493608	21.685508270723673
Saccharomycetes	0.8566102727272727	0.002963636363636363	0.17334281818181815	0.002948818181818182	0.4736650000000001	4.702310818181818	0.0	0.057373	0.0	11.607073818181819	0.008476	0.039892727272727274	0.039072909090909096	0.03729290909090909	0.05102490909090909	0.1526442727272727	0.0	0.002682090909090909	0.0	0.0	0.020167454545454547	0.7225301818181818	0.14707563636363635	0.002963636363636363	0.029971636363636363	0.005867999999999999	0.09225281818181817	0.09179063636363637	7.453565272727272	0.0	0.02115490909090909	0.0	0.005897636363636364	0.006475545454545455	0.05147927272727273	0.002963636363636363	0.17073536363636363	0.04160381818181818	0.007927727272727274	0.03131190909090909	0.024658454545454546	0.04441727272727273	0.07013263636363636	0.03424590909090909	0.0	0.2951487272727273	0.04526390909090909	0.0	1.5687999999999998	0.005793909090909091
