species	sample_00	sample_01	sample_02	sample_03	sample_04	sample_05	sample_06	sample_07	sample_08	sample_09	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49
Sinorhizobium phage phiLM21	0.0	2.043196	7.81088	4.0297685	1.241271	0.702103	0.0	0.0447625	17.523991000000002	2.329007	5.659805	2.89302	45.2777665	4.378469	0.179051	4.8021495	1.0085045	4.571394	0.0447625	4.875561	1.969112	5.620412	3.940692	1.6978515	42.2508875	2.0118625	0.1342885	5.955238	0.400403	9.626679	4.0998195	4.842209	0.0	0.0	1.148165	0.4872425	8.92592	0.07278	11.090069	5.7257715000000005	0.0785585	0.0	0.0	0.088854	3.3460870000000003	0.0	102.3809245	0.575425	1.272381	5.3254245
Lactobacillus gasseri	0.3049678428571428	0.0	0.0	0.0	0.0	0.0	0.04640118571428571	0.004140785714285714	0.43788008571428566	0.0	0.034352628571428574	0.0	0.0	0.0	0.0	0.005417742857142857	0.0	0.0	0.0	0.019126900000000002	0.0	0.0	0.021164042857142858	0.015062357142857143	0.0	0.0	0.1037666857142857	0.0	0.0	0.014602614285714287	0.0	0.0	0.0	1.1813875285714288	0.0	0.0	0.0	0.05731097142857143	0.0	0.0	0.0	0.0	0.061081228571428565	0.0	0.04537651428571428	0.004892371428571429	0.0	0.005467028571428571	0.0039290714285714285	0.058634799999999994
Mageeibacillus indolicus	0.0	3.8158905	5.044042500000001	1.7678165	0.1654675	17.372403	1.1054095	0.0	27.9972305	0.0	0.0	32.027059	13.313459	0.0211595	15.298204	0.0	4.3675425	0.6775315	4.7262365	0.0211595	0.0	0.0	0.0	1.604716	0.5547845	26.033555500000002	10.8918195	0.4147015	0.1386965	19.7378725	2.4708735	0.0	0.9625515	10.549931	6.191401	5.483391	0.1386965	21.848135	6.021181	0.0	0.0	19.5790645	0.0	8.687378	3.755201	0.550624	0.1870505	0.2711515	0.1373095	1.707353
Campylobacter jejuni	53.720173	40.893351	51.719134	19.837395	30.828943	4.63358	27.306242	0.0	17.368534	381.859933	369.846152	102.913422	29.374878	21.703274	26.142566	22.957768	44.494207	23.532218	9.159452	30.027479	0.211194	7.642026	466.273992	51.329472	237.013908	70.942998	50.361158	24.964112	636.049285	29.073922	21.289335	1.44245	32.771922	403.893642	8.944032	431.019434	265.950507	63.883866	196.78466	5.055968	1.231256	1.036959	40.644158	71.599796	114.014819	206.844808	37.655765	22.748682	0.986271	36.476252
Escherichia phage MSU52-L1	0.0	0.19346	0.10953025	0.0	0.0	0.0	0.0225835	1.77656475	0.0	1.4088755	0.10546525	0.063008	0.0	0.0	0.0	3.10646125	0.0	0.06752475	0.0	0.0	0.0	0.0	0.1339205	0.0	0.0	0.0	0.04516725	0.110457	2.762421	0.0	0.0	0.0	0.0	0.0	0.04505425	0.0	1.07972075	0.0	0.02247075	0.081075	0.0	0.0	0.0	0.0	0.0	0.0225835	0.0	0.0	0.021793	0.0
Streptococcus phage YMC-2011	0.07871692307692307	0.027795	0.014513769230769231	0.038595538461538466	0.0	0.14618492307692307	0.06285184615384615	0.06968115384615385	0.04543953846153846	0.026628692307692308	0.0	0.002754384615384615	0.01340123076923077	0.0	0.2653491538461538	0.013066230769230771	0.046729384615384624	0.0	0.0	0.0	0.13747630769230768	0.03960061538461539	0.21180638461538462	0.0	0.06440438461538461	0.0	0.10442399999999999	0.0	0.4942813076923077	0.03628323076923077	0.0	0.0005633076923076923	0.0	2.5771243076923076	0.1327633076923077	0.0	0.039466615384615385	0.0	0.0	0.0061565384615384616	0.0	0.020979615384615385	0.0	0.03973461538461538	0.004345615384615384	0.0	0.015909615384615387	0.0	6.4654416153846155	0.0015461538461538462
Klebsiella virus PKP126	0.0	0.1422315	0.0	0.0	0.0	0.0	0.0382805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006363	0.0	0.0	0.0	0.066984	0.0	0.0	0.0	0.0	0.0	0.0	227.8355285	0.0	0.081486	0.0	0.0	0.064494	0.0	0.0	0.0	0.0054725	0.07823	0.0281015	0.0	0.0	0.023934	0.0	0.051196
Pseudomonas phage phiKZ	0.05618269230769231	2.3412854615384613	0.5250180769230769	11.918649307692307	1.1872051538461539	6.027543384615385	0.25533792307692305	0.014486923076923076	1.2541111538461538	0.24170015384615384	0.056317692307692305	2.4975813076923075	1.280654076923077	0.9356822307692307	0.3302556153846154	0.12253592307692306	0.36685823076923074	0.17339869230769234	1.1771456923076924	0.4420317692307692	5.679250000000001	0.5670394615384615	11.489476230769231	0.7730254615384615	1.796684	1.2470941538461537	0.38616407692307686	0.8084102307692308	10.801293692307693	0.8121585384615385	0.32176453846153846	0.4050030769230769	0.030360692307692307	2.113651	0.8552866923076923	0.9068748461538461	4.606890461538462	2.5026255384615386	4.520870461538461	0.022968153846153846	5.992441384615384	0.28063676923076925	1.2480224615384614	0.5625324615384615	1.6906682307692305	0.3393929230769231	1.4289247692307694	0.07204784615384616	0.26259115384615384	4.829764615384614
Campylobacter virus CP21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009722	0.0	0.0	0.0	34.595321	0.0	0.0	0.0	0.0	0.0	0.009722	0.019444	0.0	0.0	0.0	0.0	0.0	1.385039	0.0	0.0	0.0	0.0	0.0	0.009673	0.0	0.0	0.0	0.0	0.0	0.00943	0.0	0.0
Hepatitis B virus	0.0	0.0	0.0	0.0	0.338779	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.170249	0.161651	0.0	0.0	0.0	0.158212	0.644025	0.16509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arthrobacter phage Wheelbite	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.594859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3314	0.0	37.893934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.307374	0.0	0.164872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacillus phage vB_BpuM-BpSp	0.0	0.528005	0.013548	0.0	1.6507623333333334	0.0	0.0	0.0	0.0	0.0	0.0	18.345919666666667	0.0	0.0	0.6336726666666667	0.0	0.0	0.05720133333333333	0.0	0.0	0.001483	0.0	0.0	0.0	0.0	0.0	0.0	0.003036	0.0	13.364400000000002	0.0	0.0	0.0	0.018520333333333333	0.00335	0.00171	0.0	0.004667333333333333	0.0	0.0	7.870949666666667	0.06802733333333334	6.175224666666666	0.0017186666666666667	0.0	0.0	0.013530333333333333	0.0	0.012047333333333334	0.048800666666666666
